PALABRAS OFUSCADAS

1) acActividad	dfFfylalidi
145) Error_Inicio_MSR	Xwwrw_Tslflr_PNG
146) Error_Inicio_Txn	Xwwrw_Tslflr_Qcs
147) Error_Inicio_TxnOff	Xwwrw_Tslflr_QcsRkk
148) Error_Inicio_TxnOnl	Xwwrw_Tslflr_QcsRsq
149) Error_Interno	Xwwrw_Tsyhwsr
150) Error_Lectura_Datos	Xwwrw_Yhfyxwd_Wdyrv
151) Error_Monto	Xwwrw_Prsyr
152) Error_Parametro	Xwwrw_Udwdphywr
153) Error_Procesamiento_Exitoso	Xwwrw_Uwrfhvdplhsyr_Xclyrvr
154) Error_Trans_Cancel_Remove	Xwwrw_Qwdsv_Bdsfhq_Ghprah
155) Error_Trans_Cancel_timeout	Xwwrw_Qwdsv_Bdsfhq_ylphrxy
156) Error_Trans_Cancelada	Xwwrw_Qwdsv_Bdsfhqdid
157) Error_Transporte	Xwwrw_Qwdsvurwyh
158) ErrorValuesE105	XwwrwCdqxhvX105
159) ErrorValuesE105	XwwrwCdqxhvX105
160) Extraccion_Banda	Xcywdfflrs_Idsid
161) Extraccion_Chip	Xcywdfflrs_Bmlu
162) Extraccion_Fallback	Xcywdfflrs_Sdqqgdfn
163) getErrorString	jhyXwwrwNywlsj
164) getIJackResponse_1	jhyTOdfnGhvursvh_1
165) getIJackResponse_2	jhyTOdfnGhvursvh_2
166) getLabelIcc	jhyYdghqTff
167) getRespuesta	jhyGhvuxhvyd
168) iJackCommandLinkit	lOdfnBrppdsiYlsnly
169) IJackCommandMessage	TOdfnBrppdsiPhvvdjh
170) inBanderaAbort	lsIdsihwdFgrwy
171) inCicloProceso	lsBlfqrUwrfhvr
172) inCont	lsBrsy
173) inContador	lsBrsydirw
174) inEngineID	lsXsjlshTW
175) inEngineKeys	lsXsjlshVhbv
176) Informacion	Tskrwpdflrs
177) inGetpos	lsZhyurv
178) inGetValue	lsZhyCdqxh
179) inHex_to_decimal	lsAhc_yr_ihflpdq
180) inHex_to_int	lsAhc_yr_lsy
181) inLongitudCallback	lsYrsjlyxiBdqqgdfn
182) inNumIntentos	lsKxpTsyhsyrv
183) inPosicion	lsUrvlflrs
184) inPosicion	lsUrvlflrs
185) inPosicion2	lsUrvlflrs2
186) Interfaz_Callback	Tsyhwkde_Bdqqgdfn
187) inTipodeProceso	lsQlurihUwrfhvr
188) inValue	lsCdqxh
189) LibE105Linkit	YlgX105Ylsnly
190) longitudRespuesta	qrsjlyxiGhvuxhvyd
191) MessageDataType	PhvvdjhWdydQbuh
192) obj_secureChannel	rgo_vhfxwhBmdsshq
193) requestE105	whtxhvyX105
194) sbCrearRespuesta	vgBwhdwGhvuxhvyd
195) sbData1Builder	vgWdyd1Ixlqihw
196) sbData1Builder	vgWdyd1Ixlqihw
197) sbData2Builder	vgWdyd2Ixlqihw
198) sbData3Builder	vgWdyd3Ixlqihw
199) SECURE_CHANNEL_ALL	NXBHGX_BAFKKXY_FYY
200) SECURE_CHANNEL_CMAC	NXBHGX_BAFKKXY_BPFB
201) SECURE_CHANNEL_CMAC_RESPONSE	NXBHGX_BAFKKXY_BPFB_GXNURKNX
202) SECURE_CHANNEL_CMAC_SEND	NXBHGX_BAFKKXY_BPFB_NXKW
203) SECURE_CHANNEL_ENCRYPT	NXBHGX_BAFKKXY_XKBGDUQ
204) SECURE_CHANNEL_ENCRYPT_RESPONSE	NXBHGX_BAFKKXY_XKBGDUQ_GXNURKNX
205) SECURE_CHANNEL_ENCRYPT_SEND	NXBHGX_BAFKKXY_XKBGDUQ_NXKW
206) SECURE_CHANNEL_NONE	NXBHGX_BAFKKXY_KRKX
207) sendCallbackResponse	vhsiBdqqgdfnGhvursvh
208) sendComando	vhsiBrpdsir
209) serialVersionUID	vhwldqChwvlrsHTW
210) setParameterToValue	vhyUdwdphyhwQrCdqxh
211) setSecureChannel	vhyNhfxwhBmdsshq
212) smResponseSemaphore	vpGhvursvhNhpdumrwh
213) stGet_DatePhone	vyZhy_WdyhUmrsh
214) stGetNombre	vyZhyKrpgwh
215) stGetStars	vyZhyNydwv
216) stGetTimePhone	vyZhyQlphUmrsh
217) stGetValor	vyZhyCdqrw
218) stHex_to_int	vyAhc_yr_lsy
219) stInformacion1	vyTskrwpdflrs1
220) stInformacion1	vyTskrwpdflrs1
221) stInformacion2	vyTskrwpdflrs2
222) stInformacion3	vyTskrwpdflrs3
223) stInformacion3	vyTskrwpdflrs3
224) stInformacion4	vyTskrwpdflrs4
225) stInformacion5	vyTskrwpdflrs5
226) stIterador	vyTyhwdirw
227) stMontoAdicional	vyPrsyrFilflrsdq
228) stMontoTransaccion	vyPrsyrQwdsvdfflrs
229) stNombre	vyKrpgwh
230) strError	vywXwwrw
231) stServiceCode	vyNhwalfhBrih
232) stTag8a	vyQdj8d
233) stTagdf52	vyQdjik52
234) stTagdf53	vyQdjik53
235) stTagdf54	vyQdjik54
236) stTexto_Bloq	vyQhcyr_Iqrt
237) stTexto_Inc1	vyQhcyr_Tsf1
238) stTexto_Inc2	vyQhcyr_Tsf2
239) stTexto1_PIN	vyQhcyr1_UTK
240) stTexto2_PIN	vyQhcyr2_UTK
241) stTexto3_PIN	vyQhcyr3_UTK
242) stTextoCancelarSeleccApp	vyQhcyrBdsfhqdwNhqhffFuu
243) stTextoCancelarSeleccApp	vyQhcyrBdsfhqdwNhqhffFuu
244) stTextoCardDetectLoop	vyQhcyrBdwiWhyhfyYrru
245) stTextoFallback	vyQhcyrSdqqgdfn
246) stTextoMsrRead	vyQhcyrPvwGhdi
247) stTextoSeleccApp	vyQhcyrNhqhffFuu
248) stTextoSeleccApp	vyQhcyrNhqhffFuu
249) stTextoSmartCardEnable	vyQhcyrNpdwyBdwiXsdgqh
250) stTimeoutCardDetectLoop	vyQlphrxyBdwiWhyhfyYrru
251) stTimeoutMsrRead	vyQlphrxyPvwGhdi
252) stTimeoutPIN	vyQlphrxyUTK
253) stTimeoutSeleccApp	vyQlphrxyNhqhffFuu
254) stTimeoutSeleccApp	vyQlphrxyNhqhffFuu
255) stTimeoutSmartCard	vyQlphrxyNpdwyBdwi
256) stTitulo_Bloq	vyQlyxqr_Iqrt
257) stTitulo_Bloq	vyQlyxqr_Iqrt
258) stTitulo_Inc	vyQlyxqr_Tsf
259) stTitulo_Inc	vyQlyxqr_Tsf
260) stTituloFallback	vyQlyxqrSdqqgdfn
261) stTransactionType	vyQwdsvdfylrsQbuh
262) stValor	vyCdqrw
263) SW1_IDS	NJ1_TWN
264) vdCallbackFromE105	aiBdqqgdfnSwrpX105
265) vdCleanup	aiBqhdsxu
266) vdCleanup2	aiBqhdsxu2
267) vdDesconectarIjack	aiWhvfrshfydwTodfn
268) vdDialogInform	aiWldqrjTskrwp
269) vdDisableCuadrodeDialogo	aiWlvdgqhBxdiwrihWldqrjr
270) vdDisableListcheckbox	aiWlvdgqhYlvyfmhfngrc
271) vdDismissAlertDialog	aiWlvplvvFqhwyWldqrj
272) vdDismissPinEntryDialog	aiWlvplvvUlsXsywbWldqrj
273) vdGenerateSubkeys	aiZhshwdyhNxgnhbv
274) vdInform	aiTskrwp
275) vdInformNoButtonOrTitle	aiTskrwpKrIxyyrsRwQlyqh
276) vdInformNoButtonOrTitleOnUIThread	aiTskrwpKrIxyyrsRwQlyqhRsHTQmwhdi
277) vdInformOnUIThread	aiTskrwpRsHTQmwhdi
278) vdInformPinRetry	aiTskrwpUlsGhywb
279) vdLimpiarSemaforo	aiYlpuldwNhpdkrwr
280) vdListaCheckbox	aiYlvydBmhfngrc
281) vdMain	aiPdls
282) vdMain	aiPdls
283) vdMetodo_handleEMVCallback	aiPhyrir_mdsiqhXPCBdqqgdfn
284) vdMostrarAplicaciones	aiPrvywdwFuqlfdflrshv
285) vdMostrarLog	aiPrvywdwYrj
286) vdMsrDisable	aiPvwWlvdgqh
287) vdOfflinePinCallback	aiRkkqlshUlsBdqqgdfn
288) vdPassBackDialogRef	aiUdvvIdfnWldqrjGhk
289) vdPedSetTimeout	aiUhiNhyQlphrxy
290) vdPrintHex	aiUwlsyAhc
291) vdSetArraylist	aiNhyFwwdbqlvy
292) vdSetpos	aiNhyurv
293) vdSetResponse	aiNhyGhvursvh
294) vdUpdateDlgMessage	aiHuidyhWqjPhvvdjh
295) vdValidarErrorComunicacion	aiCdqlidwXwwrwBrpxslfdflrs
296) VmfCallbackConstants	CpkBdqqgdfnBrsvydsyv
